cycle,train_loss,val_loss,val_accuracy,train_sample_size,test_accuracy,test_loss,average_entropy
1.0,0.9668111422456297,1.4005584468841552,0.4995,4256.0,0.507,1.3760186591345793,1.2863122820854187
2.0,0.957546442535752,1.3947963647842405,0.50225,4512.0,0.5105,1.369293547549825,1.27584707736969
3.0,0.9436611229141287,1.3942793622016907,0.5055,4768.0,0.5135000000000001,1.365505202560668,1.2551121711730957
4.0,0.931294659140763,1.3868154287338257,0.5085,5024.0,0.5176000000000001,1.357708715519328,1.2360150218009949
5.0,0.9080145024892055,1.3808915853500365,0.50875,5280.0,0.5192,1.351132908254672,1.2127137780189514
6.0,0.8881096364445769,1.3734409332275392,0.5137499999999999,5536.0,0.5275,1.340927113203486,1.1850351691246033
7.0,0.869268496721489,1.3615788493156433,0.5191250000000001,5792.0,0.527,1.3335487479996528,1.1765286922454834
8.0,0.8519688078335353,1.3639654870033264,0.518625,6048.0,0.5323,1.3340549127311463,1.1476808190345764
9.0,0.8320441870822519,1.3589647688865663,0.5217499999999999,6304.0,0.5346,1.3245576954191658,1.1406033039093018
10.0,0.8221496528241692,1.3490361223220826,0.5255,6560.0,0.5373,1.3188124166172779,1.120108723640442
11.0,0.8032369955044957,1.357225039958954,0.5273749999999999,6816.0,0.54115,1.3212415205824906,1.1026290655136108
12.0,0.7670525207239038,1.3424084162712098,0.536125,7072.0,0.5427500000000001,1.313901673456666,1.0789561867713928
13.0,0.7470166044203996,1.3543724284172058,0.5355,7328.0,0.5441499999999999,1.3167012573047807,1.0632734298706055
14.0,0.7279771547528762,1.3570760278701783,0.53375,7584.0,0.5447,1.3220728713615686,1.0330121517181396
15.0,0.7183362410992993,1.3504226775169372,0.534875,7840.0,0.55055,1.3147941649339763,1.024051308631897
